r2train_per_fold,[0]
r2test_per_fold,[0.9628962946953055]
r2testadj_per_fold,[0.9498008692936486]
rmse_per_fold,[1378.9324488929183]
mae_per_fold,[913.9529523176003]
maep_per_fold,[1.403350637420705]
mape_per_fold,[1.3682227520842207]
smape_per_fold,[1.3480508073650588]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ewt
nmodes,4
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9629
std_r2test,0.0
avg_r2testadj,0.9498
std_r2testadj,0.0
avg_rmse,1378.9324
std_rmse,0.0
avg_mae,913.953
std_mae,0.0
avg_maep,1.4034
std_maep,0.0
avg_mape,1.3682
std_mape,0.0
avg_smape,1.3481
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.16
